附件ID,头附件ID,类型,文件描述,上传用户名,上传时间,文件类型,文件内容,文件块序号,自动字段列表,表内关联附件ID列表,文件TXT
330390,-1,1,00000102_关于临港新城主城区WSW-C2-02地块小学项目新增配电箱批价审核意见,管理员,2024-06-25 11:46:19,00000102_关于临港新城主城区WSW-C2-02地块小学项目新增配电箱批价审核意见.pdf,NULL,1,,,
330389,-1,1,00000101_技术核定单[临港新城主城区WSW-C2-02地块小学核定内容：蓝图4号_5号楼(J2_J3_J8)进线电缆为三相四线制，按施工规范户内电缆改为三相五线制],管理员,2024-06-25 11:46:03,00000101_技术核定单[临港新城主城区WSW-C2-02地块小学核定内容：蓝图4号_5号楼(J2_J3_J8)进线电缆为三相四线制，按施工规范户内电缆改为三相五线制].pdf,NULL,1,,,
330388,-1,1,00000100_厨房电气平面图[临港新城主城区WSW-C2-02地块小学强电专业教学楼(白图)],管理员,2024-06-25 11:45:48,00000100_厨房电气平面图[临港新城主城区WSW-C2-02地块小学强电专业教学楼(白图)].pdf,NULL,1,,,
330387,-1,1,00000099_营业执照(副本)复印件[扬中市恒泰电器有限公司],管理员,2024-06-25 11:45:31,00000099_营业执照(副本)复印件[扬中市恒泰电器有限公司].pdf,NULL,1,,,
330386,-1,1,00000098_营业执照(副本)复印件[上海航仟机电设备有限公司],管理员,2024-06-25 11:45:15,00000098_营业执照(副本)复印件[上海航仟机电设备有限公司].pdf,NULL,1,,,
330385,-1,1,00000097_营业执照(副本)复印件[上海洲德电气成套有限公司],管理员,2024-06-25 11:45:01,00000097_营业执照(副本)复印件[上海洲德电气成套有限公司].pdf,NULL,1,,,
330384,-1,1,00000096_报价书[临港新城主城区WSW-C2-02地块小学项目配电箱],管理员,2024-06-25 11:44:47,00000096_报价书[临港新城主城区WSW-C2-02地块小学项目配电箱].pdf,NULL,1,,,
330383,-1,1,00000095_配电箱批价汇总表、批价表[临港新城主城区WSW-C2-02地块小学项目],管理员,2024-06-25 11:44:34,00000095_配电箱批价汇总表、批价表[临港新城主城区WSW-C2-02地块小学项目].pdf,NULL,1,,,
330382,-1,1,00000094_批价单[临港新城主城区WSW-C2-02地块小学安装工程电气核定内容：配电箱元器件采用施耐德、人民电气、伊顿穆勒三家品牌，动力、照明配电箱，电饰-03、技术核定单(电气-01第1条)],管理员,2024-06-25 11:43:00,00000094_批价单[临港新城主城区WSW-C2-02地块小学安装工程电气核定内容：配电箱元器件采用施耐德、人民电气、伊顿穆勒三家品牌，动力、照明配电箱，电饰-03、技术核定单(电气-01第1条)].pdf,NULL,1,,,
330381,-1,1,00000093_批价审批单[临港新城主城区WSW-C2-02地块小学核定内容：新增配电箱批价(变更增加)，批价单位：上海洲德电气成套有限公司、上海航仟机电设备有限公司、扬中市恒泰电器有限公司],管理员,2024-06-25 11:42:42,00000093_批价审批单[临港新城主城区WSW-C2-02地块小学核定内容：新增配电箱批价(变更增加)，批价单位：上海洲德电气成套有限公司、上海航仟机电设备有限公司、扬中市恒泰电器有限公司].pdf,NULL,1,,,
330380,-1,1,00000092_报价单[临港新城主城区WSW-C2-02地块小学项目电缆：上海朗达电缆(集团)有限公司],管理员,2024-06-25 11:42:29,00000092_报价单[临港新城主城区WSW-C2-02地块小学项目电缆：上海朗达电缆(集团)有限公司].pdf,NULL,1,,,
330379,-1,1,00000091_报价单[临港新城主城区WSW-C2-02地块小学项目电缆(无锡江南电缆有限公司)],管理员,2024-06-25 11:42:13,00000091_报价单[临港新城主城区WSW-C2-02地块小学项目电缆(无锡江南电缆有限公司)].pdf,NULL,1,,,
