RELPATH	CDFILE	WJBH	ZRZ	WJCLTM	RQ	BZ
0000 竣工档案编制说明及目录索引	0000 竣工档案编制说明及目录索引\00000000.tif			中华人民共和国上海出入境检验检疫局综合实验楼增设电梯工程竣工档案编制说明及目录索引		
0000 竣工档案编制说明及目录索引	0000 竣工档案编制说明及目录索引\00000001.tif		中华人民共和国上海出入境检验检疫局	中华人民共和国上海出入境检验检疫局综合实验楼增设电梯工程项目编制说明	2011.11.08	
0000 竣工档案编制说明及目录索引	0000 竣工档案编制说明及目录索引\00000002.tif		中华人民共和国上海出入境检验检疫局	案卷目录	2011.11.08	
0000 竣工档案编制说明及目录索引	0000 竣工档案编制说明及目录索引\00000003.tif		中华人民共和国上海出入境检验检疫局	案卷分目录	2011.11.08	
0001 可行性研究报告、建筑工程施工许可证、施工中标通知书(江苏五星)等材料	0001 可行性研究报告、建筑工程施工许可证、施工中标通知书(江苏五星)等材料\00000000.tif			中华人民共和国上海出入境检验检疫局综合实验楼增设电梯工程可行性研究报告、建筑工程施工许可证、施工中标通知书(江苏五星)等材料		
0001 可行性研究报告、建筑工程施工许可证、施工中标通知书(江苏五星)等材料	0001 可行性研究报告、建筑工程施工许可证、施工中标通知书(江苏五星)等材料\00000001.tif			中华人民共和国上海出入境检验检疫局综合实验楼增设电梯工程项目可行性报告		
0001 可行性研究报告、建筑工程施工许可证、施工中标通知书(江苏五星)等材料	0001 可行性研究报告、建筑工程施工许可证、施工中标通知书(江苏五星)等材料\00000002.tif	沪建建[2002]460号	上海市建设和管理委员会	关于加强上海市建设工程抗震设防管理工作的通知		
0001 可行性研究报告、建筑工程施工许可证、施工中标通知书(江苏五星)等材料	0001 可行性研究报告、建筑工程施工许可证、施工中标通知书(江苏五星)等材料\00000003.tif	310115200908031701	上海市建筑业管理办公室	建筑工程施工许可证	2009.12.21	
0001 可行性研究报告、建筑工程施工许可证、施工中标通知书(江苏五星)等材料	0001 可行性研究报告、建筑工程施工许可证、施工中标通知书(江苏五星)等材料\00000004.tif		上海市建筑业管理办公室	上海市建设工程报建表	2009.08.04	
0001 可行性研究报告、建筑工程施工许可证、施工中标通知书(江苏五星)等材料	0001 可行性研究报告、建筑工程施工许可证、施工中标通知书(江苏五星)等材料\00000005.tif		上海市建筑建材业受理服务中心	上海市建设工程安全质量监督申报表	2010.04.02	
0001 可行性研究报告、建筑工程施工许可证、施工中标通知书(江苏五星)等材料	0001 可行性研究报告、建筑工程施工许可证、施工中标通知书(江苏五星)等材料\00000006.tif		上海市建设工程招标投标管理办公室	上海市建设工程施工中标(交易成交)通知书	2009.10.16	
0001 可行性研究报告、建筑工程施工许可证、施工中标通知书(江苏五星)等材料	0001 可行性研究报告、建筑工程施工许可证、施工中标通知书(江苏五星)等材料\00000007.tif		上海市建设工程招标投标管理办公室	上海市建设工程施工招投标办事流程表	2009.10.16	
0002 施工招标文件、回标分析情况说明	0002 施工招标文件、回标分析情况说明\00000000.tif			中华人民共和国上海出入境检验检疫局综合实验楼增设电梯工程施工招标文件、回标分析情况说明		
0002 施工招标文件、回标分析情况说明	0002 施工招标文件、回标分析情况说明\00000001.tif		上海市建设工程招标投标管理办公室	中华人民共和国上海出入境检验检疫局综合实验楼增设电梯工程施工招标文件	2009.08	
0002 施工招标文件、回标分析情况说明	0002 施工招标文件、回标分析情况说明\00000002.tif		上海宁信建设工程咨询有限公司	招标投标情况书面报告	2009.10	
0002 施工招标文件、回标分析情况说明	0002 施工招标文件、回标分析情况说明\00000003.tif		上海宁信建设工程咨询有限公司	回标分析情况说明	2009.10
0003 投标报名文件(上海绿地、通州建总、江苏五星、浙江八达、江苏南通)	0003 投标报名文件(上海绿地、通州建总、江苏五星、浙江八达、江苏南通)\00000000.tif			中华人民共和国上海出入境检验检疫局综合实验楼增设电梯工程投标报名文件(上海绿地、通州建总、江苏五星、浙江八达、江苏南通)	
0003 投标报名文件(上海绿地、通州建总、江苏五星、浙江八达、江苏南通)	0003 投标报名文件(上海绿地、通州建总、江苏五星、浙江八达、江苏南通)\00000001.tif		上海绿地建设(集团)有限公司	中华人民共和国上海出入境检验检疫局综合实验楼增设电梯工程投标报名凭证及资质资料(上海绿地建设(集团)有限公司)	2009.09.09
0003 投标报名文件(上海绿地、通州建总、江苏五星、浙江八达、江苏南通)	0003 投标报名文件(上海绿地、通州建总、江苏五星、浙江八达、江苏南通)\00000002.tif		通州建总集团有限公司	投标报名凭证及资质资料(通州建总集团有限公司)	2009.09.04
0003 投标报名文件(上海绿地、通州建总、江苏五星、浙江八达、江苏南通)	0003 投标报名文件(上海绿地、通州建总、江苏五星、浙江八达、江苏南通)\00000003.tif		江苏五星建设集团有限公司	投标报名凭证及资质资料(江苏五星建设集团有限公司)	2009.09.07
0003 投标报名文件(上海绿地、通州建总、江苏五星、浙江八达、江苏南通)	0003 投标报名文件(上海绿地、通州建总、江苏五星、浙江八达、江苏南通)\00000004.tif		浙江八达建设集团有限公司	投标报名凭证及资质资料(浙江八达建设集团有限公司)	2009.09.07
0003 投标报名文件(上海绿地、通州建总、江苏五星、浙江八达、江苏南通)	0003 投标报名文件(上海绿地、通州建总、江苏五星、浙江八达、江苏南通)\00000005.tif		江苏南通二建集团有限公司	投标报名凭证及资质资料(江苏南通二建集团有限公司)	2009.09.03
0004 商务标书、技术标书(江苏五星)	0004 商务标书、技术标书(江苏五星)\00000000.tif			中华人民共和国上海出入境检验检疫局综合实验楼增设电梯工程商务标书、技术标书(江苏五星)	
0004 商务标书、技术标书(江苏五星)	0004 商务标书、技术标书(江苏五星)\00000001.tif		上海市建设工程招标投标管理办公室	中华人民共和国上海出入境检验检疫局综合实验楼增设电梯工程上海市建设工程施工中标(交易成交)通知书	2009.10.16
0004 商务标书、技术标书(江苏五星)	0004 商务标书、技术标书(江苏五星)\00000002.tif		江苏五星建设集团有限公司	商务标书	2009.10.08
0004 商务标书、技术标书(江苏五星)	0004 商务标书、技术标书(江苏五星)\00000003.tif		江苏五星建设集团有限公司	技术标书	2009.10.08
0005 招标文件、评标报告	0005 招标文件、评标报告\00000000.tif			中华人民共和国上海出入境检验检疫局综合实验楼增设电梯工程招标文件、评标报告	
0005 招标文件、评标报告	0005 招标文件、评标报告\00000001.tif		上海机电设备招标公司	中华人民共和国上海出入境检验检疫局综合实验楼增设电梯工程招标文件	2009.10
0005 招标文件、评标报告	0005 招标文件、评标报告\00000002.tif		上海机电设备招标公司	评标报告	2009.11.10
0006 中标通知书、投标文件书(上海三菱电梯)	0006 中标通知书、投标文件书(上海三菱电梯)\00000000.tif			中华人民共和国上海出入境检验检疫局综合实验楼增设电梯工程中标通知书、投标文件书(上海三菱电梯)	
0006 中标通知书、投标文件书(上海三菱电梯)	0006 中标通知书、投标文件书(上海三菱电梯)\00000001.tif		上海机电设备招标公司	中华人民共和国上海出入境检验检疫局综合实验楼增设电梯工程中标通知书(上海三菱电梯有限公司)	2009.11.18
0006 中标通知书、投标文件书(上海三菱电梯)	0006 中标通知书、投标文件书(上海三菱电梯)\00000002.tif		上海三菱电梯有限公	投标文件书	
